borough,datetime,temperature_2m,precipitation,visibility,rain,showers,snowfall,wind_speed_10m,date
MANHATTAN,2026-01-14 05:00:00+00:00,6.0699997,0,31000,0,0,0,7.42159,1/14/2026
MANHATTAN,2026-01-14 06:00:00+00:00,6.0699997,0,28900,0,0,0,5.1544156,1/14/2026
MANHATTAN,2026-01-14 07:00:00+00:00,5.92,0,30900,0,0,0,6.849467,1/14/2026
MANHATTAN,2026-01-14 08:00:00+00:00,5.3199997,0,31400,0,0,0,7.2,1/14/2026
MANHATTAN,2026-01-14 09:00:00+00:00,5.37,0,38000,0,0,0,7.2805495,1/14/2026
MANHATTAN,2026-01-14 10:00:00+00:00,4.72,0,34400,0,0,0,7.2,1/14/2026
MANHATTAN,2026-01-14 11:00:00+00:00,5.02,0,35100,0,0,0,6.28713,1/14/2026
MANHATTAN,2026-01-14 12:00:00+00:00,5.37,0,41800,0,0,0,7.92,1/14/2026
MANHATTAN,2026-01-14 13:00:00+00:00,6.3199997,0,40000,0,0,0,3.2599385,1/14/2026
MANHATTAN,2026-01-14 14:00:00+00:00,6.8199997,0,41500,0,0,0,7.628263,1/14/2026
MANHATTAN,2026-01-14 15:00:00+00:00,8.32,0,46900,0,0,0,11.525623,1/14/2026
MANHATTAN,2026-01-14 16:00:00+00:00,8.82,0,47400,0,0,0,8.225035,1/14/2026
MANHATTAN,2026-01-14 17:00:00+00:00,10.0199995,0,50600,0,0,0,7.9932976,1/14/2026
MANHATTAN,2026-01-14 18:00:00+00:00,10.32,0,48400,0,0,0,2.1897945,1/14/2026
MANHATTAN,2026-01-14 19:00:00+00:00,10.62,0,45700,0,0,0,5.3517847,1/14/2026
MANHATTAN,2026-01-14 20:00:00+00:00,10.17,0,39800,0,0,0,5.506941,1/14/2026
MANHATTAN,2026-01-14 21:00:00+00:00,9.47,0,32400,0,0,0,7.2,1/14/2026
MANHATTAN,2026-01-14 22:00:00+00:00,8.62,0,31000,0,0,0,6.638072,1/14/2026
MANHATTAN,2026-01-14 23:00:00+00:00,8.17,0,31100,0,0,0,9.3876505,1/14/2026
MANHATTAN,2026-01-15 00:00:00+00:00,7.67,0,26700,0,0,0,4.1046314,1/15/2026
MANHATTAN,2026-01-15 01:00:00+00:00,7.3199997,0,21700,0,0,0,5.937272,1/15/2026
MANHATTAN,2026-01-15 02:00:00+00:00,6.42,0,20900,0,0,0,6.9527545,1/15/2026
MANHATTAN,2026-01-15 03:00:00+00:00,6.8199997,0,19400,0,0,0,7.145796,1/15/2026
MANHATTAN,2026-01-15 04:00:00+00:00,7.02,0,19100,0,0,0,6.3690495,1/15/2026
MANHATTAN,2026-01-15 05:00:00+00:00,6.42,0,19500,0,0,0,9.449572,1/15/2026
MANHATTAN,2026-01-15 06:00:00+00:00,6.77,0,23500,0,0,0,10.661107,1/15/2026
MANHATTAN,2026-01-15 07:00:00+00:00,6.3199997,0,24900,0,0,0,9.3876505,1/15/2026
MANHATTAN,2026-01-15 08:00:00+00:00,6.72,0,27400,0,0,0,10.233123,1/15/2026
MANHATTAN,2026-01-15 09:00:00+00:00,6.67,0,28400,0,0,0,7.145796,1/15/2026
MANHATTAN,2026-01-15 10:00:00+00:00,6.27,0,25000,0,0,0,10.587918,1/15/2026
MANHATTAN,2026-01-15 11:00:00+00:00,6.3199997,0,25100,0,0,0,9.726664,1/15/2026
MANHATTAN,2026-01-15 12:00:00+00:00,5.67,0,18300,0,0,0,11.720751,1/15/2026
MANHATTAN,2026-01-15 13:00:00+00:00,5.67,0,21900,0,0,0,16.394829,1/15/2026
MANHATTAN,2026-01-15 14:00:00+00:00,5.02,0,27400,0,0,0,25.38702,1/15/2026
MANHATTAN,2026-01-15 15:00:00+00:00,4.5699997,0,29700,0,0,0,23.933907,1/15/2026
MANHATTAN,2026-01-15 16:00:00+00:00,4.72,0,36500,0,0,0,26.208395,1/15/2026
MANHATTAN,2026-01-15 17:00:00+00:00,3.8200002,0,43500,0,0,0,27.345785,1/15/2026
MANHATTAN,2026-01-15 18:00:00+00:00,3.67,0,48100,0,0,0,27.086262,1/15/2026
MANHATTAN,2026-01-15 19:00:00+00:00,3.3200002,0,48200,0,0,0,25.071096,1/15/2026
MANHATTAN,2026-01-15 20:00:00+00:00,2.42,0,48400,0,0,0,24.975283,1/15/2026
MANHATTAN,2026-01-15 21:00:00+00:00,0.97,0,47400,0,0,0,25.346148,1/15/2026
MANHATTAN,2026-01-15 22:00:00+00:00,-0.38,0,51900,0,0,0,23.83896,1/15/2026
MANHATTAN,2026-01-15 23:00:00+00:00,-1.68,0,47100,0,0,0,21.434364,1/15/2026
MANHATTAN,2026-01-16 00:00:00+00:00,-2.08,0,48700,0,0,0,18.64369,1/16/2026
MANHATTAN,2026-01-16 01:00:00+00:00,-3.4299998,0,54100,0,0,0,26.009842,1/16/2026
MANHATTAN,2026-01-16 02:00:00+00:00,-3.98,0,47600,0,0,0,18.72346,1/16/2026
MANHATTAN,2026-01-16 03:00:00+00:00,-4.53,0,47600,0,0,0,17.518356,1/16/2026
MANHATTAN,2026-01-16 04:00:00+00:00,-4.9300003,0,50800,0,0,0,22.782625,1/16/2026
MANHATTAN,2026-01-16 05:00:00+00:00,-5.33,0,50200,0,0,0,23.510508,1/16/2026
MANHATTAN,2026-01-16 06:00:00+00:00,-5.33,0,43900,0,0,0,25.764534,1/16/2026
MANHATTAN,2026-01-16 07:00:00+00:00,-5.88,0,38100,0,0,0,26.368616,1/16/2026
